"22Rv1-CCS1477-1"	"22Rv1-CCS1477-2"	"22Rv1-CCS1477-3"	"22Rv1-Control-1"	"22Rv1-Control-2"	"22Rv1-Control-3"
"TSPAN6"	19.132076479388	17.9299161880753	17.1157481370813	10.9018997136336	11.9096018357514	11.3040591427421
"DPM1"	55.7452380668462	52.1346793776343	55.5419135389312	61.6394329800382	61.8165047665191	55.7771222752605
"SCYL3"	36.5646030177136	35.7219099439346	39.2875706691428	39.1916394768601	39.5677980403901	38.2929892759327
"C1orf112"	43.1200099332399	39.4458156137656	41.0103812037287	34.6376813686334	33.2858102588949	34.0686349942159
"FUCA2"	63.6117263654778	59.4100876770264	60.4856307251341	68.631368661356	68.5347416995071	65.5948345411022
"GCLC"	113.675611772201	103.028056865325	111.795422733452	165.874474123894	166.210926718728	165.140960901928
"NFYA"	51.2292910805948	52.9277333628761	51.4596016200212	47.5175628868504	49.470653779275	50.3793362486224
"STPG1"	13.4507238192652	12.7578249799766	11.8724117274721	10.211906060872	11.1679782782138	10.8346864447736
"NIPAL3"	94.9320038507704	95.3733618773389	95.6159846695154	116.240930701908	120.753765133186	125.43985353209
"LAS1L"	51.4235253595733	55.8930656555193	52.6580785136461	51.5195260728678	51.1284005549473	45.8420668349265
"ENPP4"	67.1565019568365	64.0304891562612	64.3432282264894	69.643359352073	70.5414877963736	62.4265688298147
"SEMA3F"	1.40819852259455	2.03435587518547	1.23592929655073	1.19598899812015	1.48324711507526	1.64280444288986
"ANKIB1"	178.841212369508	182.023129917018	178.985033582301	210.586062822847	206.30222374091	200.187455683579
"CYP51A1"	44.6738841650684	43.1352406755427	43.8942162290137	42.6416077406682	44.2356639613623	43.612546519576
"KRIT1"	77.5480358821894	73.9609042758105	74.605186628153	74.8413115362106	77.8704735414514	73.5741704065673
"RAD52"	31.9029803222282	31.6187175855097	32.6584953512798	28.4737380706296	30.8428150105356	30.5092253679545
"MYH16"	1.79666708055166	2.34468134767138	1.61045332580852	1.65598476662789	1.48324711507526	1.52546126839773
"BAD"	49.9667682672341	46.3074566165098	43.5945970056075	38.0416500555908	41.1382949857639	44.433948741021
"LAP3"	70.1185747112596	69.3749834046298	68.8000641746572	70.7013496196409	68.9273659358505	65.4383769751127
"CD99"	21.8999149548325	25.3087663116293	24.4938715134599	18.8598265088177	15.3123452173946	15.3719558584694
"HS3ST1"	1.06828853438207	0.965457025511746	1.12357208777339	1.60998518977712	1.00337304843327	1.29077491941346
"AOC1"	1.45675709233919	1.55162736242959	2.32204898139834	1.14998942126937	1.65774677567235	1.60369005139248
"MAD1L1"	51.2292910805948	47.0660299936976	47.2274800894081	44.0675946230423	43.1450410826305	44.433948741021
"LASP1"	99.156599418554	100.717856125708	99.4735821708707	111.088978094621	107.840790249002	120.66789776941
"SNX11"	17.4325265383256	17.3092652431034	15.8423664376048	17.0198434347867	17.5808408051568	15.9195573394327
"M6PR"	111.830386121905	104.441761795539	108.836682902316	113.296957783458	117.874520733334	118.321034279567
