"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"rank"
"STEAP2"	1.64667402602341	7.85351415466553	1946.67463456437	1.12835352180778e-20	1.63182486323841e-16	-19.9475548112424
"KLK2"	2.91401148588133	5.18012520277678	1431.81685257555	2.04898777978801e-19	1.29097308851149e-15	-18.6884606317337
"KCNMA1"	2.48821956472965	5.14415890143681	1354.61396323521	3.45347266918732e-19	1.29097308851149e-15	-18.4617439766545
"NKX3-1"	1.38831980854058	9.16562644481955	1349.82095776664	3.57066267047845e-19	1.29097308851149e-15	-18.447251176766
"PMEPA1"	1.56602506172298	9.07639848096185	1276.81229477139	6.02579729694437e-19	1.74290161016819e-15	-18.2199854817399
"KLK4"	2.14676056864623	5.7183959355512	1234.04055606945	8.30208296476416e-19	2.00107873060699e-15	-18.0808129309239
"HMGCS2"	2.17900141112408	6.5603659204585	1204.20019602633	1.04502703943921e-18	2.1590258634814e-15	-17.9808724723019
"ASB9"	2.27910482426689	5.61696971685987	1169.28712228743	1.37785009283332e-18	2.35280487913895e-15	-17.8607980301764
"COLCA1"	1.80518346115852	5.99480504392801	1150.8900083672	1.59919800891911e-18	2.35280487913895e-15	-17.7960977596078
"TRGC1"	1.90358736672923	5.64241271406533	1148.78853494735	1.62688762214006e-18	2.35280487913895e-15	-17.7886424450779
"RNF144B"	1.66097556231602	6.38856252043883	1106.25919676129	2.31842829415977e-18	3.04810090819441e-15	-17.6348063316993
"TSPAN8"	1.39816582373765	7.64389258181337	1093.56361031512	2.58371776487303e-18	3.10506570530093e-15	-17.5877549287004
"TRIB1"	1.79241211608064	5.80852392190639	1084.60113520755	2.79116679359093e-18	3.10506570530093e-15	-17.5542142103148
"AMD1"	1.42228540881847	9.63091230622155	1036.9418679323	4.25453718016698e-18	4.39493690711249e-15	-17.371147676715
"SYTL2"	1.12195458174059	8.17599362075441	1007.00116880059	5.59935633610491e-18	5.39852608884995e-15	-17.2518618936624
"BTG1"	1.39704867606083	6.92716743554539	989.664421714816	6.5888859879775e-18	5.77628327191403e-15	-17.1811880072833
"SYT4"	1.38153387807438	7.5045862146274	981.675570253414	7.1086811213028e-18	5.77628327191403e-15	-17.1482109667627
"NET1"	1.28612486466693	8.32862121550785	980.49307000098	7.18939972994416e-18	5.77628327191403e-15	-17.1433073689851
"MCCC2"	1.15705765038972	8.09932108379504	919.313373498562	1.31417083775497e-17	1.00029150819012e-14	-16.8813481742956
"MYC"	1.41209420630314	7.23652097434578	890.458992730567	1.77089776112025e-17	1.28053617106605e-14	-16.7518065111211
"MAOA"	1.3938655604203	6.61553720161039	860.87398096153	2.4286155649099e-17	1.636014369726e-14	-16.6146412259325
"STEAP1"	1.69441729350172	6.12626934466787	858.623391150388	2.48875094274457e-17	1.636014369726e-14	-16.6040185624528
"RAP1GAP"	1.39186992394677	6.26563076864897	848.995897418504	2.76523880204719e-17	1.73873406761767e-14	-16.5582673576927
"KRT19"	1.48725822487287	7.12023973455033	818.615303360681	3.88606079635743e-17	2.34167546820505e-14	-16.4104904092648
"S100P"	1.26458149944927	6.66050325912755	776.090700749979	6.39189273311152e-17	3.65288945629114e-14	-16.1943705218368
"PTPRB"	1.36371207822215	6.48683246151452	773.841293926768	6.56721932399182e-17	3.65288945629114e-14	-16.1826184794321
"GLYATL1"	1.33744043477628	6.46461559534521	745.464752820305	9.30187328540321e-17	4.98235894272227e-14	-16.0314295809528
"STARD10"	1.14312497885164	7.70146496743368	735.762065017691	1.05089166823349e-16	5.25564671214549e-14	-15.9784420511585
"C19orf48"	1.06761835775816	8.68705463087618	735.536877782571	1.05389126436329e-16	5.25564671214549e-14	-15.9772041953123
"CREB3L4"	1.18952061426617	7.19120284273009	730.998434801387	1.11640767743927e-16	5.38182927704225e-14	-15.9521771855675
"AQP3"	1.33759582662787	6.25004764401537	712.340128276812	1.42014071813174e-16	6.62518550503909e-14	-15.8476686203492
"HPGD"	0.848233434217978	8.66199545567281	689.653632271335	1.91893079013366e-16	8.67236783966033e-14	-15.7169406886335
"PDE4D"	1.23384437068526	6.73864258895564	682.515090719324	2.1137915667891e-16	9.26353140572849e-14	-15.6749378390987
"IRX3"	1.08697010988461	6.95376726129965	673.601311932921	2.38844559962376e-16	1.01593236063997e-13	-15.6218846459663
"TOB1"	1.2014398267163	7.28869647430113	658.204701015903	2.96063071660669e-16	1.22333261210188e-13	-15.528615759359
"CHPT1"	0.976801198794694	8.45302316541175	644.067231587591	3.6217189785296e-16	1.45492499631931e-13	-15.4410852510978
"ATP1A1"	0.903029911673361	7.94503135502945	632.337518156115	4.29505008630329e-16	1.67878417157076e-13	-15.3670317673209
"RHOU"	0.845581112130648	8.39102238250672	618.273810985154	5.29100060603625e-16	2.01364344117095e-13	-15.2764621887234
"PPP3CA"	0.880594837155463	8.89375431916912	610.73454125943	5.92813293067008e-16	2.19827329341925e-13	-15.2270820664307
"HK2"	1.14945957030609	6.49457623391973	601.164822056531	6.86209295845537e-16	2.48098970912954e-13	-15.1635434029994
"FAM111B"	1.33913189872558	10.1039293253252	581.858157460072	9.28300372991417e-16	3.27440975468338e-13	-15.032311475047
"ARHGAP29"	1.08414330043891	7.16594664716752	568.448615761227	1.15171665163418e-15	3.96574433712704e-13	-14.9386543540446
"ELAPOR1"	1.00179361496247	7.49313182804348	562.791482241839	1.26328403286709e-15	4.24874736821486e-13	-14.8984989930404
"SPDEF"	0.918811717281572	7.55628648471616	558.104679001199	1.36479082996678e-15	4.35856843491212e-13	-14.8649339041925
"SLC12A2"	0.856120981702391	8.0544881887902	557.158782619263	1.38635145903718e-15	4.35856843491212e-13	-14.8581266561809
"FKBP5"	0.839672898156421	7.96226171358116	549.318438986554	1.58027241772291e-15	4.8625318521508e-13	-14.8012680400609
"TSPAN13"	0.982829189580501	6.90475927179612	538.212456187805	1.90823758591198e-15	5.74936082655398e-13	-14.7193675542509
"ELL2"	1.08999181268228	7.56615421452006	532.914046771773	2.09065859448195e-15	6.17042950885672e-13	-14.6797168818826
"TP53INP1"	0.899330228409047	7.28473620594326	523.13043815976	2.48033969928207e-15	7.17413454620345e-13	-14.6054888355364
"EDEM3"	0.774512907226025	8.17406453321787	519.272978318996	2.65550479073552e-15	7.43217195146034e-13	-14.5758529107434
"USP54"	0.87775705615523	7.79530843408831	518.917254303861	2.67233398890843e-15	7.43217195146034e-13	-14.5731092645814
"DDIT4L"	0.949685967777973	7.36320608454647	515.72558966577	2.8287149483911e-15	7.71865577049661e-13	-14.5484108145006
"ERGIC1"	0.913687438556231	8.83860866323998	512.371462134522	3.00403149741771e-15	8.04524139178795e-13	-14.522295518045
"IGFBP3"	1.6307722455979	6.96988363451841	506.952783904245	3.31318191420516e-15	8.70328681207319e-13	-14.4797547180068
"SLC1A5"	1.09857260719997	6.63161531068394	506.01616168318	3.37010137931198e-15	8.70328681207319e-13	-14.4723570344956
"CLU"	0.959662028488928	8.86035203397432	499.402942315322	3.80412824309448e-15	9.65180748274253e-13	-14.4197448507437
"ALB"	1.18476430798713	9.51689858910151	496.987091061751	3.97779633401321e-15	9.91842941077571e-13	-14.4003574568271
"TRIM36"	0.863577052939185	7.6029385627923	451.007237719642	9.70643219743998e-15	2.33957370732295e-12	-14.0129403747986
"SMPDL3A"	1.0701134540884	6.64201950245685	446.307282919396	1.06851424867546e-14	2.5332546007122e-12	-13.971219682129
"SYNGR2"	0.822227137578155	7.4427769533891	435.510653604902	1.33733929700707e-14	3.11945176021231e-12	-13.8737583936927
"C1orf116"	1.18431772940049	6.43911285237489	423.51955744967	1.726800386259e-14	3.96396622001233e-12	-13.7627578628707
