GeneName	rank
STEAP2	-19.9475548112424
KLK2	-18.6884606317337
KCNMA1	-18.4617439766545
NKX3-1	-18.447251176766
PMEPA1	-18.2199854817399
KLK4	-18.0808129309239
HMGCS2	-17.9808724723019
ASB9	-17.8607980301764
COLCA1	-17.7960977596078
TRGC1	-17.7886424450779
RNF144B	-17.6348063316993
TSPAN8	-17.5877549287004
TRIB1	-17.5542142103148
AMD1	-17.371147676715
SYTL2	-17.2518618936624
BTG1	-17.1811880072833
SYT4	-17.1482109667627
NET1	-17.1433073689851
MCCC2	-16.8813481742956
MYC	-16.7518065111211
MAOA	-16.6146412259325
STEAP1	-16.6040185624528
RAP1GAP	-16.5582673576927
KRT19	-16.4104904092648
S100P	-16.1943705218368
PTPRB	-16.1826184794321
GLYATL1	-16.0314295809528
STARD10	-15.9784420511585
C19orf48	-15.9772041953123
CREB3L4	-15.9521771855675
AQP3	-15.8476686203492
HPGD	-15.7169406886335
PDE4D	-15.6749378390987
IRX3	-15.6218846459663
TOB1	-15.528615759359
CHPT1	-15.4410852510978
ATP1A1	-15.3670317673209
RHOU	-15.2764621887234
PPP3CA	-15.2270820664307
HK2	-15.1635434029994
FAM111B	-15.032311475047
ARHGAP29	-14.9386543540446
ELAPOR1	-14.8984989930404
SPDEF	-14.8649339041925
SLC12A2	-14.8581266561809
FKBP5	-14.8012680400609
TSPAN13	-14.7193675542509
ELL2	-14.6797168818826
TP53INP1	-14.6054888355364
EDEM3	-14.5758529107434
USP54	-14.5731092645814
DDIT4L	-14.5484108145006
ERGIC1	-14.522295518045
IGFBP3	-14.4797547180068
SLC1A5	-14.4723570344956
CLU	-14.4197448507437
ALB	-14.4003574568271
TRIM36	-14.0129403747986
SMPDL3A	-13.971219682129
SYNGR2	-13.8737583936927
C1orf116	-13.7627578628707
TMBIM1	-13.7456095585704
METTL7A	-13.5887322452846
MARS2	-13.5484298155362
TMEFF2	-13.4528791850986
PRUNE2	-13.3345184325345
HEBP2	-13.322052856809
HOXB13	-13.3167337469497
HOMER2	-13.2977563302188
RGS2	-13.254891964457
ARFGEF3	-13.2498249556623
KRT18	-13.1701143420566
CLDN4	-13.0960822566587
CKB	-13.0672674808128
VPS13A	-13.0634268215154
IGFBP2	-13.0061838995621
GALNT7	-12.9973038943826
KIF12	-12.9756473506844
DSEL	-12.9671112600801
FOXRED1	-12.948383830338
TNC	-12.8668823090593
GLUD1	-12.8115825577449
PRSS23	-12.7711859565491
UGDH	-12.7554325188991
SELENBP1	-12.6841247581806
PON1	-12.6303028960595
SCIN	-12.5858088993601
MYO6	-12.5845155507004
SPOCK1	-12.5818965860577
RBM47	-12.5793353184329
TOMM70	-12.5766110713476
PRLR	-12.5531490165428
GLUL	-12.3797932071789
PBLD	-12.3627160664051
SPOCK2	-12.3600495748045
SNHG3	-12.2022471935777
SPOUT1	-11.9563725029341
GSR	-11.8636246873855
AKR1C3	-11.8094007503588
FOLH1	-11.773170941047
THBS1	-11.7531655142576
HIF1A	-11.7268372456533
BZW2	-11.7127018684321
AKAP9	-11.7094641483689
KLK3	-11.7003699986229
COLEC12	-11.6023504268065
SLC45A3	-11.4947147752458
EDN2	-11.4533434907928
KRT8	-11.4031697962133
IDH1	-11.39279916477
TPD52	-11.360328092877
EPHA3	-11.359073073211
AMER3	-11.1958910788669
RDH11	-11.1560811091046
UNC13B	-11.133411988504
AHNAK	-11.1106597202772
TSC22D3	-11.1001301673321
WDR3	-11.0435465561111
LONP2	-11.0351460877171
MPC2	-11.0312735033926
GCNT1	-10.7530308195608
PYCR1	-10.7304731140619
CLIC1	-10.7002064781726
SLC39A6	-10.6527440046259
CADM2	-10.6103777724266
LRRC8A	-10.5719344323947
CD164	-10.5615848828263
BDP1	-10.5291923871376
ABCC2	-10.4444928443606
APLN	-10.3775975437085
DDX21	-10.336912717223
CD44	-10.2630221047995
GJA1	-10.219998862587
MYBPC1	-10.1777261318875
UGT2B15	-10.1752574394789
GAS5	-10.1497126615095
PRKAA1	-10.0873892403965
NEURL1	-10.0570209978859
TMPRSS2	-10.0186477972392
RNF43	-9.93002629931492
TLE3	-9.91710238201395
MRPS35	-9.86853303841319
SOX4	-9.84945734661473
CROT	-9.8349994432469
GNL3	-9.822482818899
COMT	-9.81715273695945
GTF3C6	-9.81034986453098
GNPNAT1	-9.78010309130328
ARHGEF37	-9.7371866359481
FAM234B	-9.73640614064597
SLC7A2	-9.6319360030346
TRIM3	-9.62676116463054
NOLC1	-9.57679578254918
VIL1	-9.55310141128758
SPINK1	-9.55243956464321
C1QBP	-9.50894585143982
FAR2	-9.41794503775798
TFRC	-9.31144411344679
HGF	-9.27799847302871
SNORD17	-9.27244939561035
IQSEC2	-9.26995033448119
ALCAM	-9.25312162204806
NARS1	-9.25214266901944
FAM110B	-9.0820686476482
GALNT10	-9.06493715906623
RPF2	-9.04251062898621
SNORA73B	-9.02398300505449
FAM162A	-8.96765329788769
PTCH1	-8.92972725256532
CLMN	-8.9074454731509
LPAR3	-8.77842968740922
XPOT	-8.77109835468528
PRR15L	-8.75551620311527
AZGP1	-8.72488775908922
ARL1	-8.65305135520096
SMOC1	-8.61248755522955
LDHA	-8.58155544258456
WDR43	-8.57317058600646
ODC1	-8.55730305455461
ABRACL	-8.5259863907598
GCLC	-8.47305696540896
IL1R1	-8.43681270807056
PAICS	-8.42276701101852
SPCS3	-8.38403777647758
STARD3NL	-8.35001706814861
LAD1	-8.2500902131356
RPL9	-8.20040641720936
